timestamp,session_id,level_number,value
1770300986.116,270,3,"(558.0, 0.0)"
1770300986.127,270,3,"(558.0, 0.0)"
1770300986.141,270,3,"(558.0, 0.0)"
1770300986.152,270,3,"(558.0, 0.0)"
1770300986.163,270,3,"(558.0, 0.0)"
1770300986.174,270,3,"(558.0, 0.0)"
1770300986.184,270,3,"(558.0, 0.0)"
1770300986.195,270,3,"(558.0, 0.0)"
1770300986.207,270,3,"(558.0, 0.0)"
1770300986.218,270,3,"(558.0, 0.0)"
1770300986.228,270,3,"(558.0, 0.0)"
1770300986.239,270,3,"(558.0, 0.0)"
1770300986.249,270,3,"(558.0, 0.0)"
1770300986.259,270,3,"(558.0, 0.0)"
1770300986.27,270,3,"(558.0, 0.0)"
1770300986.281,270,3,"(558.0, 0.0)"
1770300986.291,270,3,"(558.0, 0.0)"
1770300986.302,270,3,"(558.0, 0.0)"
1770300986.313,270,3,"(558.0, 0.0)"
1770300986.323,270,3,"(558.0, 0.0)"
1770300986.334,270,3,"(558.0, 0.0)"
1770300986.344,270,3,"(558.0, 0.0)"
1770300986.355,270,3,"(558.0, 0.0)"
1770300986.365,270,3,"(558.0, 0.0)"
1770300986.376,270,3,"(558.0, 0.0)"
1770300986.387,270,3,"(558.0, 0.0)"
1770300986.398,270,3,"(558.0, 0.0)"
1770300986.409,270,3,"(558.0, 0.0)"
1770300986.42,270,3,"(558.0, 0.0)"
1770300986.43,270,3,"(558.0, 0.0)"
1770300986.44,270,3,"(558.0, 0.0)"
1770300986.452,270,3,"(558.0, 0.0)"
1770300986.462,270,3,"(558.0, 0.0)"
1770300986.473,270,3,"(558.0, 0.0)"
1770300986.484,270,3,"(558.0, 0.0)"
1770300986.495,270,3,"(558.0, 0.0)"
1770300986.506,270,3,"(558.0, 0.0)"
1770300986.516,270,3,"(558.0, 0.0)"
1770300986.53,270,3,"(558.0, 0.0)"
1770300986.541,270,3,"(558.0, 0.0)"
1770300986.552,270,3,"(558.0, 0.0)"
1770300986.563,270,3,"(558.0, 0.0)"
1770300986.573,270,3,"(558.0, 0.0)"
1770300986.584,270,3,"(558.0, 0.0)"
1770300986.594,270,3,"(558.0, 0.0)"
1770300986.606,270,3,"(558.0, 0.0)"
1770300986.616,270,3,"(558.0, 0.0)"
1770300986.627,270,3,"(558.0, 0.0)"
1770300986.637,270,3,"(558.0, 0.0)"
1770300986.648,270,3,"(558.0, 0.0)"
1770300986.66,270,3,"(558.0, 15.0)"
1770300986.671,270,3,"(558.0, 15.0)"
1770300986.682,270,3,"(558.0, 31.0)"
1770300986.693,270,3,"(558.0, 31.0)"
1770300986.703,270,3,"(558.0, 31.0)"
1770300986.713,270,3,"(558.0, 31.0)"
1770300986.727,270,3,"(558.0, 31.0)"
1770300986.738,270,3,"(558.0, 31.0)"
1770300986.749,270,3,"(558.0, 31.0)"
1770300986.759,270,3,"(558.0, 31.0)"
1770300986.77,270,3,"(558.0, 31.0)"
1770300986.782,270,3,"(558.0, 15.0)"
1770300986.792,270,3,"(558.0, 15.0)"
1770300986.803,270,3,"(558.0, 0.0)"
1770300986.814,270,3,"(558.0, 0.0)"
1770300986.826,270,3,"(558.0, 0.0)"
1770300986.837,270,3,"(558.0, 0.0)"
1770300986.848,270,3,"(558.0, 0.0)"
1770300986.86,270,3,"(558.0, 0.0)"
1770300986.871,270,3,"(558.0, 0.0)"
1770300986.882,270,3,"(558.0, 0.0)"
1770300986.894,270,3,"(558.0, 0.0)"
1770300986.905,270,3,"(558.0, 0.0)"
1770300986.916,270,3,"(558.0, 0.0)"
1770300986.926,270,3,"(558.0, 0.0)"
1770300986.937,270,3,"(558.0, 0.0)"
1770300986.948,270,3,"(558.0, 0.0)"
1770300986.959,270,3,"(558.0, 0.0)"
1770300986.969,270,3,"(558.0, 0.0)"
1770300986.979,270,3,"(558.0, 0.0)"
1770300986.989,270,3,"(558.0, 0.0)"
1770300987.0,270,3,"(558.0, 0.0)"
1770300987.011,270,3,"(558.0, 0.0)"
1770300987.021,270,3,"(558.0, 0.0)"
1770300987.032,270,3,"(558.0, 0.0)"
1770300987.045,270,3,"(558.0, 0.0)"
1770300987.055,270,3,"(558.0, 0.0)"
1770300987.066,270,3,"(558.0, 0.0)"
1770300987.076,270,3,"(558.0, 0.0)"
1770300987.086,270,3,"(558.0, 0.0)"
1770300987.096,270,3,"(558.0, 0.0)"
1770300987.108,270,3,"(558.0, 0.0)"
1770300987.119,270,3,"(558.0, 0.0)"
1770300987.129,270,3,"(558.0, 0.0)"
1770300987.14,270,3,"(558.0, 0.0)"
1770300987.15,270,3,"(558.0, 0.0)"
1770300987.161,270,3,"(558.0, 0.0)"
1770300987.171,270,3,"(558.0, 0.0)"
1770300987.182,270,3,"(558.0, 0.0)"
1770300987.195,270,3,"(558.0, 0.0)"
1770300987.205,270,3,"(558.0, 0.0)"
1770300987.215,270,3,"(558.0, 0.0)"
1770300987.228,270,3,"(558.0, 0.0)"
1770300987.239,270,3,"(558.0, 15.0)"
1770300987.249,270,3,"(558.0, 15.0)"
1770300987.262,270,3,"(558.0, 31.0)"
1770300987.272,270,3,"(558.0, 31.0)"
1770300987.282,270,3,"(558.0, 31.0)"
1770300987.295,270,3,"(558.0, 31.0)"
